"Full Name","Birth Date","Death Date","Cemetery Name","Section","Plot","Inscription"
"Gerhard Schulz","09/08/1907","11/08/1939","National Cemetery (Fort Sam Houston)","A","32",""
"Petra Rodríguez","08/16/1906","03/21/1952","National Cemetery (Fort Sam Houston)","Z","64",""
"Sarah Adams","02/13/1913","03/06/1936","San Fernando Cemetery No. 2","D","129",""
"Antonio Cruz","04/03/1885","02/12/1924","San Fernando Cemetery No. 2","H","102",""
"Hilda Schmitt","02/06/1808","10/18/1850","Confederate Cemetery","B","47",""
"Harriet Davis","10/01/1790","02/06/1854","San Fernando Cemetery No. 2","D","170",""
"Tomás García","11/19/1817","12/01/1850","Mission Burial Park","Y","192","Con Dios"
"Miguel Rivera","05/07/1837","05/17/1887","National Cemetery (Fort Sam Houston)","Y","124","Beloved husband and father"
"Samuel White","11/02/1850","02/04/1929","Mission Burial Park","W","142",""
"Pedro González","10/08/1933","05/02/1958","Mission Burial Park","X","185",""
"Wilhelmine Schäfer","03/27/1896","12/19/1930","San Fernando Cemetery No. 2","F","29",""
"Juana Morales","09/08/1843","05/23/1872","San Fernando Cemetery No. 2","V","189",""
"Otto Bauer","03/03/1843","11/28/1868","San Fernando Cemetery No. 2","D","26",""
"Florence Thompson","08/22/1876","04/06/1945","San Fernando Cemetery No. 1","D","192",""
"Karl Lehmann","07/24/1817","08/26/1905","San Fernando Cemetery No. 2","T","2","Faithful servant of God"
"Franz Schmitt","01/06/1822","07/15/1871","San Fernando Cemetery No. 2","B","158",""
"Gustav Becker","06/26/1911","01/10/1932","San Fernando Cemetery No. 2","C","156",""
"Concepción Martínez","01/17/1847","06/26/1907","City Cemetery No. 1","Q","82","Hier ruht in Gott"
"Wilhelm Schulz","07/15/1898","08/17/1950","National Cemetery (Fort Sam Houston)","P","13",""
"Mary Wright","01/11/1850","07/09/1907","National Cemetery (Fort Sam Houston)","H","83",""
"Esperanza Medina","04/24/1795","08/21/1871","San Fernando Cemetery No. 2","R","48",""
"Hermann Meyer","03/03/1820","06/04/1851","San Fernando Cemetery No. 2","I","8",""
"José Rodríguez","01/06/1863","10/02/1929","City Cemetery No. 1","B","103",""
"Franz Steinemann","08/02/1879","02/24/1910","Mission Burial Park","M","70",""
"Pearl White","11/22/1871","09/13/1915","San Fernando Cemetery No. 1","F","66",""
"Friedrich Schäfer","04/18/1901","05/18/1931","Mission Burial Park","Q","31",""
"Felicitas Castillo","08/26/1883","06/23/1955","Mission Burial Park","M","119",""
"Gertrud Meyer","02/16/1861","10/13/1884","San Fernando Cemetery No. 1","S","40",""
"Manuel Fuentes","11/07/1870","01/05/1909","National Cemetery (Fort Sam Houston)","A","65",""
"Guadalupe Flores","06/28/1869","08/22/1906","San Fernando Cemetery No. 2","X","39","Geliebter Vater und Gatte"
"Emilie Schwarz","04/12/1804","09/19/1884","Mission Burial Park","Q","128","Con Dios"
"Wilhelmine Becker","11/21/1850","12/11/1930","San Fernando Cemetery No. 1","F","180",""
"Charles Allen","04/23/1840","07/22/1914","National Cemetery (Fort Sam Houston)","Z","136",""
"Franz Meyer","06/24/1887","08/08/1936","Confederate Cemetery","Z","174",""
"Hedwig Werner","07/06/1842","07/22/1920","San Fernando Cemetery No. 2","P","64",""
"Consuelo Gutiérrez","01/28/1810","07/21/1850","San Fernando Cemetery No. 1","N","109","Ruhe in Frieden"
"Beatriz Ramírez","05/23/1816","06/13/1861","City Cemetery No. 1","F","107",""
"Eugene White","08/02/1807","04/07/1873","City Cemetery No. 1","I","69",""
"Luz Gutiérrez","03/03/1819","05/28/1876","San Fernando Cemetery No. 1","D","120",""
"Teresa Garza","02/21/1870","11/10/1911","National Cemetery (Fort Sam Houston)","R","184",""
"Lillie Wilson","03/20/1885","02/12/1914","San Fernando Cemetery No. 1","D","105",""
"Franz Hartmann","08/06/1815","05/06/1899","City Cemetery No. 1","O","187",""
"Harold Thompson","06/08/1878","06/25/1913","San Fernando Cemetery No. 1","B","119",""
"Agustín Rodríguez","08/19/1897","09/08/1952","San Fernando Cemetery No. 2","V","61","Con Dios"
"Augusta Koch","12/17/1921","04/03/1944","San Fernando Cemetery No. 1","E","65",""
"Eamon Burke","03/10/1862","11/27/1931","San Fernando Cemetery No. 2","X","13",""
"Helen Smith","02/24/1835","07/24/1904","San Fernando Cemetery No. 1","M","153",""
"Ludwig Braun","09/16/1835","03/26/1863","National Cemetery (Fort Sam Houston)","W","161","Im Frieden des Herrn"
"Feliciano Castillo","02/04/1885","02/12/1906","San Fernando Cemetery No. 2","K","1","Rest in peace"
"Carlos López","07/26/1784","08/06/1873","National Cemetery (Fort Sam Houston)","H","164","Until we meet again"
"Manuel Ortiz","05/05/1855","12/20/1945","City Cemetery No. 1","B","119",""
"Olga Neumann","11/03/1856","03/02/1883","City Cemetery No. 1","C","72",""
"Agustín Fuentes","12/28/1827","08/06/1878","National Cemetery (Fort Sam Houston)","N","18",""
"Aurelio Salinas","08/11/1890","10/23/1944","Mission Burial Park","P","179",""
"Bertha Thompson","06/11/1848","10/08/1871","Confederate Cemetery","P","148",""
"Wilhelmine Richter","05/24/1826","07/01/1906","Mission Burial Park","D","11",""
"Gregorio Pérez","04/19/1835","01/25/1890","San Fernando Cemetery No. 1","H","88",""
"Antonio Cantu","10/21/1876","09/21/1948","Confederate Cemetery","N","184","Descanse en paz"
"Guadalupe Molina","03/03/1822","08/11/1852","San Fernando Cemetery No. 1","C","129",""
"Emil Schäfer","09/01/1924","11/10/1957","San Fernando Cemetery No. 2","I","89",""
"Florencio Reyes","06/06/1841","07/12/1891","City Cemetery No. 1","U","63",""
"Frederick Anderson","11/12/1781","08/24/1854","City Cemetery No. 1","O","58",""
"Louisa Werner","03/06/1916","03/11/1945","City Cemetery No. 1","X","142",""
"John Williams","03/28/1873","08/26/1934","San Fernando Cemetery No. 2","P","151",""
"Mathilde Hartmann","04/26/1907","07/11/1947","National Cemetery (Fort Sam Houston)","M","128",""
"Fiona Gallagher","11/17/1808","03/02/1856","City Cemetery No. 1","I","10",""
"Manuel Garza","05/05/1887","12/03/1923","Confederate Cemetery","S","190",""
"Beatriz Garza","07/23/1777","12/07/1858","San Fernando Cemetery No. 2","K","42",""
"Eusebio Chávez","01/17/1891","03/01/1945","City Cemetery No. 1","E","6",""
"Héctor Rodríguez","09/16/1775","09/20/1858","San Fernando Cemetery No. 2","O","37",""
"Bertha Perez","12/17/1909","04/22/1956","San Fernando Cemetery No. 1","J","27",""
"Clara Schmidt","01/17/1832","04/27/1881","City Cemetery No. 1","J","73","Hier ruht in Gott"
"Walter Schmidt","11/20/1913","03/22/1935","San Fernando Cemetery No. 2","C","57",""
"Esperanza Rodríguez","08/24/1781","10/08/1854","Mission Burial Park","N","128",""
"Ida Koch","06/12/1888","08/13/1947","City Cemetery No. 1","K","159",""
"Clarence Brown","04/12/1876","06/26/1928","Mission Burial Park","X","29","Gone but not forgotten"
"Hans Koch","09/20/1871","04/08/1897","Mission Burial Park","Y","35","Called home too soon"
"William Miller","05/21/1868","11/24/1896","National Cemetery (Fort Sam Houston)","K","87",""
"Ernesto Ortiz","01/13/1778","07/05/1852","Confederate Cemetery","J","184","Faithful servant of God"
"Remedios Fuentes","05/18/1832","03/04/1905","San Fernando Cemetery No. 2","X","66",""
"Frederick Harris","01/14/1825","01/06/1881","National Cemetery (Fort Sam Houston)","K","123",""
"Otto Schulz","08/15/1898","06/17/1944","San Fernando Cemetery No. 1","F","96",""
"Hedwig Braun","10/12/1802","10/22/1860","San Fernando Cemetery No. 1","M","174",""
"Beatriz Castillo","05/14/1833","07/22/1890","City Cemetery No. 1","Y","83","Siempre en nuestros corazones"
"Rafael Flores","07/16/1801","03/28/1888","National Cemetery (Fort Sam Houston)","L","85",""
"Louisa Allen","01/04/1846","08/20/1910","Mission Burial Park","J","97",""
"Charles White","01/24/1849","03/25/1912","San Fernando Cemetery No. 2","Q","179","Hier ruht in Gott"
"Marta Gruenewald","12/28/1877","08/08/1931","Confederate Cemetery","B","173",""
"Luis García","11/24/1909","08/19/1945","San Fernando Cemetery No. 1","M","69",""
"Rafael Moreno","12/22/1848","03/23/1932","San Fernando Cemetery No. 2","E","195",""
"Bruno Koch","07/13/1835","06/22/1861","National Cemetery (Fort Sam Houston)","Q","18",""
"Concepción Treviño","02/28/1883","07/22/1956","Confederate Cemetery","N","144",""
"Fiona Sullivan","05/14/1834","12/08/1903","Mission Burial Park","A","88",""
"Héctor Sánchez","10/11/1914","02/08/1960","Confederate Cemetery","G","48","Geliebter Vater und Gatte"
"Louisa Richter","02/05/1891","07/03/1927","Mission Burial Park","W","110",""
"Samuel Young","09/10/1875","12/13/1957","National Cemetery (Fort Sam Houston)","P","147",""
"Ida Werner","04/02/1801","02/19/1875","City Cemetery No. 1","F","127",""
"Tomás Rivera","07/09/1843","06/27/1873","San Fernando Cemetery No. 2","H","2",""
"Tomás García","02/25/1818","08/13/1864","National Cemetery (Fort Sam Houston)","C","147",""
"Amparo Martínez","04/26/1893","09/12/1957","Confederate Cemetery","A","108",""
"Miguel Cantu","08/15/1838","08/07/1903","City Cemetery No. 1","M","159",""
"Ludwig Lehmann","01/27/1800","01/26/1858","Mission Burial Park","B","56",""
"Miguel Ramírez","05/28/1813","09/06/1889","Mission Burial Park","M","53",""
"Hermann Lehmann","09/17/1859","07/03/1893","Mission Burial Park","Y","39","Called home too soon"
"Ida Steinemann","09/22/1893","11/23/1955","Confederate Cemetery","E","170","Im Frieden des Herrn"
"Heinrich Lange","09/25/1823","02/21/1863","San Fernando Cemetery No. 1","O","125",""
"Joseph White","11/24/1829","07/08/1899","National Cemetery (Fort Sam Houston)","J","123","Beloved husband and father"
"Concepción Castillo","11/16/1848","01/07/1893","National Cemetery (Fort Sam Houston)","B","184","Ruhe in Frieden"
"Consuelo Herrera","11/24/1851","04/12/1896","San Fernando Cemetery No. 1","V","52","Ruhe in Frieden"
"Beatriz Medina","02/19/1861","06/14/1938","Mission Burial Park","K","13",""
"Elizabeth Thomas","08/26/1874","09/15/1901","San Fernando Cemetery No. 1","E","180",""
"Bernardo Moreno","09/12/1922","09/20/1951","San Fernando Cemetery No. 2","Z","186",""
"Emilie Weidemann","02/09/1789","12/03/1850","National Cemetery (Fort Sam Houston)","O","114",""
"Ernesto Hernández","06/05/1830","06/15/1902","National Cemetery (Fort Sam Houston)","F","35",""
"Teresa Salinas","03/19/1911","05/23/1934","City Cemetery No. 1","R","68",""
"Franz Werner","07/28/1878","06/15/1959","Confederate Cemetery","C","185",""
"Ida Koch","12/19/1906","06/01/1930","San Fernando Cemetery No. 1","W","95",""
"Louisa Miller","10/25/1802","04/19/1868","San Fernando Cemetery No. 2","M","4",""
"Carmen Ramos","09/25/1820","07/13/1853","City Cemetery No. 1","V","59",""
"Marta Weidemann","01/28/1869","03/01/1906","San Fernando Cemetery No. 2","U","183",""
"Josefa Flores","07/28/1777","10/20/1851","Confederate Cemetery","N","57",""
"Angela Reyes","07/12/1839","05/17/1887","Confederate Cemetery","P","1",""
"Friedrich Bauer","08/26/1840","11/28/1901","City Cemetery No. 1","G","151",""
"Ernesto Medina","07/09/1846","10/08/1875","Mission Burial Park","T","2",""
"Petra Herrera","06/17/1919","04/23/1945","National Cemetery (Fort Sam Houston)","N","137","Until we meet again"
"Brendan Gallagher","03/11/1879","03/14/1952","City Cemetery No. 1","P","200",""
"Jesús López","05/13/1858","01/28/1889","San Fernando Cemetery No. 1","K","156",""
"María Rodríguez","08/07/1900","11/02/1924","National Cemetery (Fort Sam Houston)","Q","82",""
"Charles Wright","04/28/1833","12/16/1889","Confederate Cemetery","Y","147",""
"Maureen Gallagher","10/17/1852","02/07/1885","City Cemetery No. 1","S","97",""
"Dolores García","11/09/1805","05/05/1894","Mission Burial Park","Z","182","Beloved husband and father"
"Colm O'Connor","10/10/1790","04/25/1855","Mission Burial Park","A","148",""
"Esperanza Salinas","12/22/1898","08/20/1922","San Fernando Cemetery No. 2","Y","198","En la memoria de todos"
"Ida Wolf","03/27/1830","07/02/1899","Mission Burial Park","Q","148",""
"Edith Adams","10/20/1909","05/01/1956","Confederate Cemetery","R","56",""
"Ernst Mueller","07/08/1872","02/17/1917","San Fernando Cemetery No. 2","W","194",""
"August Lange","04/17/1783","03/13/1851","San Fernando Cemetery No. 2","A","121","Hier ruht in Gott"
"Frieda Schulz","09/14/1798","02/03/1878","San Fernando Cemetery No. 1","K","113",""
"Heinrich Zimmermann","10/05/1777","12/26/1867","San Fernando Cemetery No. 1","H","16",""
"Colleen Kennedy","06/17/1928","08/09/1952","National Cemetery (Fort Sam Houston)","Y","48",""
"María Vásquez","02/20/1825","08/17/1906","Mission Burial Park","F","69",""
"Joseph Anderson","07/10/1849","08/03/1893","National Cemetery (Fort Sam Houston)","N","123",""
"Elvira Gutiérrez","03/12/1825","04/15/1890","Confederate Cemetery","X","77",""
"Clarence Young","11/27/1795","06/05/1868","National Cemetery (Fort Sam Houston)","S","13",""
"Rosa Pérez","08/08/1879","02/11/1954","San Fernando Cemetery No. 2","R","89","Con Dios"
"Arthur Johnson","09/01/1861","06/02/1933","National Cemetery (Fort Sam Houston)","R","52",""
"Tomás Reyes","03/25/1856","07/11/1883","Confederate Cemetery","K","131",""
"Samuel Baker","12/08/1900","06/13/1945","San Fernando Cemetery No. 2","Y","139",""
"Adolph Meyer","06/03/1859","06/15/1885","City Cemetery No. 1","K","185",""
"Nora Connelly","11/07/1854","09/18/1874","San Fernando Cemetery No. 2","I","174",""
"Clara Weber","03/23/1866","09/24/1935","Mission Burial Park","Q","162",""
"Eileen Brennan","04/21/1860","12/26/1903","Confederate Cemetery","A","54",""
"Eamon Burke","07/17/1903","08/25/1946","San Fernando Cemetery No. 1","S","49",""
"Elvira Castillo","03/17/1813","12/06/1861","Mission Burial Park","A","196",""
"Gregorio Ortiz","05/11/1877","02/17/1943","City Cemetery No. 1","I","17",""
"Remedios Cruz","01/08/1840","05/25/1860","City Cemetery No. 1","M","58","Until we meet again"
"Wilhelmine Koch","05/15/1914","05/28/1935","National Cemetery (Fort Sam Houston)","Y","140",""
"Florencio Chávez","03/25/1889","03/03/1933","Mission Burial Park","Z","94","Descanse en paz"
"Gerhard Koch","05/15/1853","05/21/1899","Confederate Cemetery","B","176",""
"Florence Miller","09/15/1786","10/06/1852","San Fernando Cemetery No. 2","Q","154",""
"Amparo Morales","04/08/1830","04/03/1900","San Fernando Cemetery No. 1","R","76",""
"Ernesto Torres","12/13/1869","01/08/1915","City Cemetery No. 1","T","13",""
"Harriet Taylor","07/26/1892","02/21/1923","San Fernando Cemetery No. 2","I","167",""
"Katharina Weber","07/14/1825","12/23/1857","San Fernando Cemetery No. 2","Y","97",""
"Maureen Walsh","05/25/1867","06/10/1896","San Fernando Cemetery No. 1","R","163",""
"Lillie Jones","02/21/1841","10/12/1870","San Fernando Cemetery No. 1","Q","80",""
"Feliciano Domínguez","03/28/1918","01/24/1945","Confederate Cemetery","A","76",""
"Carlos Garza","12/13/1842","09/27/1875","San Fernando Cemetery No. 2","J","72","At rest with the Lord"
"Gerhard Schwarz","03/03/1838","06/16/1886","Confederate Cemetery","L","15",""
"Dolores Díaz","01/15/1842","05/24/1894","San Fernando Cemetery No. 1","Z","18",""
"Otto Braun","04/22/1875","06/01/1916","Mission Burial Park","A","89",""
"Helen Harris","04/08/1799","05/18/1862","Mission Burial Park","G","199","Beloved husband and father"
"Gustav Bauer","03/19/1854","12/26/1882","National Cemetery (Fort Sam Houston)","W","43",""
"María Rivera","06/26/1885","11/18/1914","Mission Burial Park","F","13",""
"Bertha Weber","09/01/1888","08/28/1958","San Fernando Cemetery No. 1","F","107",""
"Dermot Doyle","12/05/1808","08/24/1857","City Cemetery No. 1","X","154","Hier ruht in Gott"
"Isidro Flores","08/09/1855","01/24/1896","National Cemetery (Fort Sam Houston)","M","39",""
"Luis Moreno","08/21/1807","11/27/1856","Confederate Cemetery","L","66",""
"Elvira Cantu","04/01/1900","09/01/1944","National Cemetery (Fort Sam Houston)","N","164",""
"Hermann Gruenewald","09/11/1841","10/21/1866","San Fernando Cemetery No. 1","K","15",""
"Conrad Hartmann","06/04/1840","06/19/1863","National Cemetery (Fort Sam Houston)","E","55",""
"Juan Fuentes","10/23/1802","05/09/1882","San Fernando Cemetery No. 2","S","28",""
"Franz Steinemann","12/09/1896","01/01/1941","City Cemetery No. 1","M","136",""
"Remedios Molina","08/10/1846","11/16/1892","City Cemetery No. 1","T","97",""
"Katharina Richter","08/09/1841","12/02/1898","San Fernando Cemetery No. 1","E","2",""
"Remedios Morales","03/26/1849","11/05/1914","National Cemetery (Fort Sam Houston)","V","150",""
"Ramón Treviño","07/20/1827","07/01/1864","Mission Burial Park","K","124",""
"Walter Klein","04/22/1895","05/18/1921","Mission Burial Park","D","110","Amado esposo y padre"
"Bertha Hoffmann","04/11/1928","11/18/1956","San Fernando Cemetery No. 2","P","99",""
"Clarence Wilson","04/20/1925","10/08/1946","City Cemetery No. 1","H","154",""
"Lillie Johnson","04/06/1852","11/18/1916","National Cemetery (Fort Sam Houston)","Z","144",""
"María Hernández","12/10/1778","05/20/1860","Confederate Cemetery","K","70",""
"Albert Mitchell","10/14/1884","01/09/1909","Confederate Cemetery","R","18",""
"Richard Allen","02/25/1842","08/08/1911","San Fernando Cemetery No. 1","V","52",""
"Miguel Molina","01/17/1887","12/19/1919","Mission Burial Park","A","76",""
"Gertrud Klein","01/16/1882","11/09/1929","Mission Burial Park","F","27",""
"Ruth Scott","10/19/1834","02/22/1908","San Fernando Cemetery No. 1","M","82",""
"Ludwig Schmitt","09/28/1805","02/02/1858","City Cemetery No. 1","O","143",""
"Thomas Jones","12/06/1818","06/26/1899","National Cemetery (Fort Sam Houston)","C","142",""
"Frieda Wagner","09/12/1870","08/25/1958","Mission Burial Park","F","67",""
"Francisca Martínez","12/23/1899","09/10/1931","City Cemetery No. 1","V","144",""
"Beatriz Reyes","04/15/1802","12/26/1857","Confederate Cemetery","G","32",""
"Conrad Mueller","05/18/1861","02/14/1913","Mission Burial Park","D","70",""
"Eusebio Castillo","01/05/1782","08/12/1854","San Fernando Cemetery No. 2","Y","32","Descanse en paz"
"Albert Adams","09/24/1855","08/06/1927","San Fernando Cemetery No. 2","F","188",""
"Ramona Gutiérrez","05/19/1815","08/07/1869","Mission Burial Park","P","148",""
"Nellie Brown","12/07/1871","11/20/1952","Confederate Cemetery","N","162",""
"Eusebio Treviño","11/16/1864","08/27/1915","San Fernando Cemetery No. 1","B","180",""
"Alice Thomas","07/23/1905","12/19/1932","Confederate Cemetery","O","31",""
"Karl Schroeder","05/02/1865","04/23/1887","San Fernando Cemetery No. 2","L","97",""
"Miguel Pérez","08/12/1819","11/13/1902","San Fernando Cemetery No. 2","P","199",""
"Eamon Gallagher","02/15/1861","12/23/1940","Confederate Cemetery","G","190",""
"Samuel Davis","12/10/1916","08/06/1939","San Fernando Cemetery No. 2","Q","141",""
"Albert Jackson","01/05/1791","03/28/1867","Mission Burial Park","L","80",""
"Hermann Zimmermann","07/09/1799","06/17/1858","Confederate Cemetery","E","86",""
"Angela Flores","07/20/1887","01/22/1933","San Fernando Cemetery No. 1","M","178",""
"Frank Johnson","04/09/1906","03/13/1934","San Fernando Cemetery No. 1","W","160",""
"Antonio Torres","07/15/1876","11/02/1951","Confederate Cemetery","M","83",""
"Agustín Rivera","12/28/1851","03/21/1885","Confederate Cemetery","S","72",""
"Aurelio Chávez","06/18/1838","08/18/1859","San Fernando Cemetery No. 1","H","133","Im Frieden des Herrn"
"Ramón Vásquez","05/12/1880","08/28/1949","City Cemetery No. 1","L","35",""
"José Cantu","06/06/1914","06/16/1935","National Cemetery (Fort Sam Houston)","L","10",""
"Ethel Taylor","06/22/1817","03/25/1861","National Cemetery (Fort Sam Houston)","S","179",""
"Jesús Molina","04/11/1855","03/28/1926","Confederate Cemetery","A","9",""
"Heinrich Bauer","12/12/1784","08/26/1861","San Fernando Cemetery No. 1","S","52",""
"Wilhelmine Fischer","05/25/1911","03/15/1956","City Cemetery No. 1","Z","86",""
"Ignacio Chávez","05/14/1893","03/04/1938","San Fernando Cemetery No. 1","M","71",""
"Isidro Chávez","03/05/1909","06/08/1948","Mission Burial Park","Z","67",""
"Amparo Pérez","12/04/1763","02/09/1850","San Fernando Cemetery No. 2","S","185",""
"Marta Schmitt","04/15/1905","09/20/1957","City Cemetery No. 1","R","171",""
"Emma Nelson","08/25/1833","07/17/1867","National Cemetery (Fort Sam Houston)","H","3",""
"Remedios García","09/04/1867","11/17/1892","City Cemetery No. 1","A","50",""
"Guadalupe Sánchez","07/23/1875","12/02/1938","San Fernando Cemetery No. 2","K","165",""
"Mathilde Zimmermann","04/03/1821","11/06/1854","San Fernando Cemetery No. 1","N","180",""
"Antonio Rodríguez","07/25/1793","05/14/1870","City Cemetery No. 1","E","130","Geliebter Vater und Gatte"
"Lillie Adams","10/17/1816","01/15/1870","National Cemetery (Fort Sam Houston)","Z","68",""
"Josefa Rivera","01/08/1860","01/28/1899","San Fernando Cemetery No. 2","C","186",""
"Amparo Cantu","07/13/1878","12/28/1913","City Cemetery No. 1","P","132",""
"Tomás Cantu","09/19/1908","01/10/1958","Mission Burial Park","Y","102",""
"Juan Vásquez","04/26/1807","12/23/1868","San Fernando Cemetery No. 2","Y","33",""
"Liam Flanagan","05/04/1874","09/16/1943","San Fernando Cemetery No. 2","N","26",""
"Louisa Schroeder","02/17/1812","06/18/1882","Mission Burial Park","A","177",""
"Hilda Bergmann","05/21/1787","09/08/1854","City Cemetery No. 1","E","173",""
"Soledad Sánchez","10/13/1850","03/01/1925","City Cemetery No. 1","M","157","Geliebter Vater und Gatte"
"Bertha Wolf","04/14/1868","12/06/1905","National Cemetery (Fort Sam Houston)","H","22",""
"Carlos Sánchez","06/21/1854","04/20/1918","Confederate Cemetery","R","192",""
"Robert Perez","08/03/1837","01/03/1915","Mission Burial Park","A","108","Hier ruht in Gott"
"Robert Baker","05/15/1843","11/25/1899","San Fernando Cemetery No. 2","Y","94",""
"Liam Ryan","12/07/1858","10/03/1881","San Fernando Cemetery No. 2","H","189",""
"Ida Wolf","07/14/1933","10/21/1959","Mission Burial Park","P","191",""
"Wilhelm Lange","05/01/1835","02/22/1862","National Cemetery (Fort Sam Houston)","H","131",""
"Florence Jackson","08/16/1763","02/21/1852","Mission Burial Park","P","159",""
"Elvira Moreno","10/08/1821","03/11/1868","National Cemetery (Fort Sam Houston)","E","35",""
"Arthur Harris","05/12/1870","03/15/1948","Confederate Cemetery","V","87","Faithful servant of God"
"Louisa Wagner","05/14/1774","02/10/1861","San Fernando Cemetery No. 1","H","183",""
"Clara Lange","09/28/1859","09/16/1948","City Cemetery No. 1","F","5",""
"Concepción Cruz","08/25/1838","11/17/1897","Confederate Cemetery","B","99",""
"Pearl Davis","11/21/1881","06/08/1917","San Fernando Cemetery No. 1","E","82",""
"Conrad Zimmermann","11/15/1811","07/24/1887","National Cemetery (Fort Sam Houston)","V","18",""
"Ida Becker","04/28/1911","07/24/1941","National Cemetery (Fort Sam Houston)","K","159",""
"Ramona Ramírez","12/15/1878","02/04/1940","San Fernando Cemetery No. 2","H","162",""
"Lupe Ramos","03/13/1803","08/16/1877","Mission Burial Park","G","130",""
"Nellie Taylor","11/15/1865","10/20/1948","National Cemetery (Fort Sam Houston)","C","182",""
"Ramona Ramírez","01/26/1817","01/18/1852","San Fernando Cemetery No. 1","D","191",""
"Ida Braun","02/11/1797","07/06/1857","Confederate Cemetery","K","151",""
"Wilhelm Zimmermann","11/23/1907","07/15/1939","Mission Burial Park","Z","4",""
"Frank Thompson","03/22/1884","08/06/1938","San Fernando Cemetery No. 2","P","173",""
"Colm Connelly","10/10/1868","06/23/1904","National Cemetery (Fort Sam Houston)","G","12",""
"Hans Wolf","03/21/1841","12/11/1869","San Fernando Cemetery No. 2","I","53",""
"Héctor Ramos","08/15/1816","11/15/1897","San Fernando Cemetery No. 2","I","185",""
"Richard Young","04/22/1933","08/11/1959","San Fernando Cemetery No. 1","A","77",""
"Augusta Mueller","09/01/1867","08/03/1910","Confederate Cemetery","C","170",""
"Augusta Richter","11/09/1817","12/14/1900","Confederate Cemetery","E","192","Faithful servant of God"
"Felicitas Reyes","11/26/1813","07/14/1897","San Fernando Cemetery No. 2","Z","189","In loving memory"
"Tomás Treviño","09/15/1880","03/12/1941","Mission Burial Park","X","98",""
"Andrés Hernández","03/17/1862","01/22/1945","Mission Burial Park","H","168",""
"Ethel Baker","03/22/1874","12/22/1903","Confederate Cemetery","C","67",""
"Clara Hartmann","03/28/1810","02/25/1880","Confederate Cemetery","K","101",""
"Wilhelm Zimmermann","07/13/1827","02/21/1890","San Fernando Cemetery No. 2","A","16",""
"Francisco López","05/02/1826","11/03/1895","Confederate Cemetery","Q","119",""
"Elizabeth Mitchell","04/24/1857","09/04/1888","Mission Burial Park","L","196",""
"Harriet Baker","10/14/1879","11/21/1930","City Cemetery No. 1","F","124",""
"Bertha Anderson","08/15/1854","12/18/1924","Confederate Cemetery","W","16",""
"Wilhelm Schroeder","10/25/1792","03/23/1861","National Cemetery (Fort Sam Houston)","D","84",""
"Colleen O'Brien","04/25/1805","11/05/1856","Mission Burial Park","D","55",""
"Conrad Gruenewald","02/08/1843","07/01/1883","Confederate Cemetery","Y","140",""
"Ignacio Hernández","09/09/1910","03/24/1938","San Fernando Cemetery No. 2","W","161",""
"Walter Schmitt","06/18/1794","08/14/1860","National Cemetery (Fort Sam Houston)","F","40",""
"Eugene Anderson","07/07/1898","08/22/1921","San Fernando Cemetery No. 1","Z","171","In loving memory"
"Florence King","09/28/1840","04/12/1878","Confederate Cemetery","Q","157",""
"Frank Nelson","08/06/1868","11/14/1926","Confederate Cemetery","Q","171",""
"Lupe Treviño","09/08/1852","01/15/1891","San Fernando Cemetery No. 1","Y","3",""
"Adolph Werner","01/18/1848","01/17/1937","Confederate Cemetery","K","104",""
"Mary Baker","11/01/1902","06/18/1936","City Cemetery No. 1","Q","3","En la memoria de todos"
"Ida Schroeder","05/16/1873","08/26/1926","Confederate Cemetery","C","151",""
"Ida White","11/10/1829","04/27/1898","Confederate Cemetery","Y","85",""
"Guadalupe Medina","04/07/1813","12/19/1885","Confederate Cemetery","S","38","Descanse en paz"
"Rosa Rodríguez","08/10/1847","01/06/1894","San Fernando Cemetery No. 2","R","164",""
"Jesús Flores","06/21/1843","10/10/1864","San Fernando Cemetery No. 1","I","122","Descanse en paz"
"Hans Klein","06/19/1816","10/03/1870","Confederate Cemetery","O","61",""
"Andrés Salinas","08/25/1893","02/20/1924","City Cemetery No. 1","P","185",""
"Guadalupe Cantu","09/24/1859","08/26/1917","National Cemetery (Fort Sam Houston)","V","175",""
"Rosa Cruz","05/09/1776","11/20/1864","City Cemetery No. 1","Z","186",""
"Charles Mitchell","08/09/1859","06/06/1922","Confederate Cemetery","P","124",""
"Antonio Reyes","08/12/1836","05/17/1914","Confederate Cemetery","C","159","En la memoria de todos"
"Harriet Anderson","04/05/1809","08/19/1897","Mission Burial Park","F","153","At rest with the Lord"
"María Salinas","08/08/1852","06/24/1886","Confederate Cemetery","K","141",""
"William Allen","05/14/1835","05/10/1878","San Fernando Cemetery No. 2","V","190",""
"Bernardo Reyes","06/08/1809","01/25/1881","San Fernando Cemetery No. 2","L","50",""
"Richard Roberts","01/19/1866","10/22/1955","Confederate Cemetery","Z","41",""
"Francisca García","11/11/1835","08/18/1917","Mission Burial Park","P","130",""
"Harriet Miller","10/16/1883","07/08/1909","Confederate Cemetery","H","149",""
"Petra Vásquez","11/19/1819","01/19/1902","Confederate Cemetery","Q","84",""
"Elizabeth Scott","11/02/1866","05/09/1932","Confederate Cemetery","W","36",""
"Friedrich Hartmann","12/06/1811","01/15/1860","Mission Burial Park","E","104",""
