"Name","Occupation","Address","Directory Year","Spouse Name"
"José Salinas","clerk","722 Alamo Plaza","1905",""
"Colm Connelly","minister","982 Laredo St","1905","Mathilde Gruenewald"
"Guadalupe Rivera","stockman","343 Flores St","1877","Harriet Allen"
"Walter Moore","merchant","694 Laredo St","1877","Rosa García"
"Francisco Rodríguez","baker","829 Laredo St","1925",""
"Andrés Reyes","farmer","1067 Santa Rosa St","1895",""
"Pedro Ortiz","baker","872 Commerce St","1925",""
"Hermann Weidemann","clerk","150 Houston St","1891",""
"Florencio Ramírez","teacher","611 Market St","1895","Josefa Reyes"
"Eugene Moore","physician","1095 Alamo Plaza","1925","Ramona Sánchez"
"Gustav Krüger","teamster","575 Market St","1881","Pearl Jackson"
"Ernesto Chávez","merchant","1016 Flores St","1905","Lupe Morales"
"Eusebio Molina","printer","551 Soledad St","1915","Gertrud Weber"
"Conrad Braun","stockman","185 Commerce St","1901",""
"Héctor Fuentes","attorney","929 Commerce St","1905",""
"Eusebio López","blacksmith","999 Santa Rosa St","1925","Elizabeth King"
"Pedro Herrera","printer","598 Navarro St","1885","Clara Gruenewald"
"Franz Koch","carpenter","254 Flores St","1881",""
"Kieran Kennedy","blacksmith","742 Houston St","1891","Florence Davis"
"Klaus Schmitt","teacher","876 Market St","1915","Bertha Roberts"
"Wilhelm Koch","clerk","168 Soledad St","1915","Alice Jackson"
"Albert Scott","blacksmith","494 Santa Rosa St","1915","Francisca Moreno"
"Harold Taylor","stockman","1053 Houston St","1915","Juana Hernández"
"Gerhard Mueller","teamster","903 Flores St","1881",""
"Isidro García","tailor","315 Santa Rosa St","1910","Siobhan Connelly"
"Antonio Rivera","farmer","229 Flores St","1891","Rosa Cruz"
"August Wagner","druggist","829 Flores St","1915","Florence Jones"
"Klaus Neumann","druggist","526 Market St","1895",""
"Juan Pérez","minister","612 Alamo Plaza","1905",""
"Hermann Richter","teacher","404 Market St","1881","Beatriz Ortiz"
"Friedrich Schwarz","farmer","696 Market St","1891","Florence Anderson"
"Ludwig Wolf","baker","701 Laredo St","1905","Katharina Bauer"
"Heinrich Krüger","stockman","672 Flores St","1920",""
"Bruno Schäfer","teamster","275 Alamo Plaza","1910","Nora Brennan"
"Luis Hernández","printer","1096 Santa Rosa St","1891",""
"Juan Chávez","baker","807 Laredo St","1905","Carmen Ramírez"
"Antonio Ramírez","barber","989 Houston St","1925","Bridget O'Brien"
"Pedro González","printer","805 Market St","1881","Augusta Schwarz"
"Klaus Schwarz","attorney","553 Houston St","1881","Hedwig Schulz"
"Juan Treviño","clerk","763 Flores St","1895","Mary Wright"
"Luis Morales","clerk","122 Commerce St","1915","María Rodríguez"
"Gregorio Rivera","teamster","767 Commerce St","1905",""
"Walter Davis","clerk","1199 Alamo Plaza","1885","Remedios Molina"
"Miguel Hernández","clerk","500 Market St","1915","Bertha Schmidt"
"Heinrich Neumann","physician","705 Soledad St","1905",""
"Feliciano González","physician","483 Soledad St","1901",""
"Hans Wolf","laborer","1017 Navarro St","1881",""
"Harold Davis","blacksmith","320 Santa Rosa St","1877","Florence Scott"
"Gerhard Schmidt","barber","663 Navarro St","1915",""
"Albert Carter","laborer","192 Navarro St","1885",""
"Gustav Bergmann","carpenter","749 Market St","1905",""
"Seamus Ryan","teacher","998 Flores St","1881","Colleen Brennan"
"Gerhard Steinemann","teamster","955 Market St","1925",""
"Seamus Kelly","saloon keeper","959 Commerce St","1901",""
"John Thomas","farmer","378 Houston St","1881","Elvira Treviño"
"Ernst Richter","stockman","445 Market St","1881","Carmen Castillo"
"Frank Wright","baker","402 Flores St","1910",""
"Hermann Schäfer","saloon keeper","488 Alamo Plaza","1885",""
"August Gruenewald","laborer","252 Navarro St","1877","Emilie Meyer"
"Samuel Taylor","printer","690 Commerce St","1925","Dolores Gutiérrez"
"Ernesto Rivera","laborer","1123 Alamo Plaza","1915","Esperanza Castillo"
"Henry Moore","barber","1017 Alamo Plaza","1925","Ida Nelson"
"Samuel Wilson","teamster","885 Alamo Plaza","1925","Amparo Treviño"
"Ludwig Lehmann","printer","690 Santa Rosa St","1885",""
"Dermot Gallagher","butcher","846 Market St","1920","Mathilde Hoffmann"
"Seamus Flanagan","farmer","106 Santa Rosa St","1925",""
"Wilhelm Klein","clerk","550 Market St","1920",""
"Miguel Pérez","stockman","476 Soledad St","1895",""
"Samuel Allen","druggist","917 Flores St","1925",""
"Isidro Domínguez","farmer","476 Commerce St","1910","Ramona Salinas"
"Ramón López","minister","935 Houston St","1885","Beatriz Garza"
"Harold Adams","saloon keeper","711 Houston St","1915","Petra Salinas"
"Hans Krüger","druggist","556 Laredo St","1877","Nellie Moore"
"Heinrich Koch","stockman","1045 Soledad St","1895","María Rivera"
"Eusebio Garza","blacksmith","863 Santa Rosa St","1920","Josefa Rodríguez"
"Jesús Cantu","farmer","1169 Houston St","1895","Ruth White"
"Karl Lehmann","baker","1052 Soledad St","1915",""
"Luis Chávez","minister","189 Santa Rosa St","1925","Lillie Carter"
"Bruno Meyer","laborer","622 Commerce St","1920",""
"Antonio Herrera","physician","1020 Santa Rosa St","1895","Remedios Rodríguez"
"Manuel Salinas","butcher","480 Soledad St","1920",""
"Robert Allen","druggist","377 Commerce St","1895","Guadalupe Moreno"
"Héctor Reyes","teamster","858 Laredo St","1885",""
"Samuel Jackson","stockman","842 Santa Rosa St","1901","Brigid O'Brien"
"Gustav Schroeder","baker","1065 Market St","1891",""
"Colm O'Connor","blacksmith","1191 Santa Rosa St","1925",""
"Klaus Hoffmann","merchant","804 Soledad St","1915",""
"Eusebio Cantu","laborer","266 Santa Rosa St","1920",""
"Juan Treviño","printer","504 Commerce St","1910","Anna Bergmann"
"Antonio Molina","farmer","389 Soledad St","1895","Catalina Reyes"
"Clarence Taylor","butcher","415 Laredo St","1895","Helen Young"
"Samuel Young","baker","169 Laredo St","1877","Grace Jones"
"Charles Anderson","druggist","148 Soledad St","1895",""
"Frank Martin","carpenter","207 Flores St","1885","Elizabeth Jones"
"Agustín Pérez","merchant","625 Houston St","1885",""
"Bruno Weidemann","tailor","190 Soledad St","1920",""
"Agustín Flores","druggist","190 Alamo Plaza","1925","Soledad Salinas"
"Ernesto Hernández","teamster","386 Santa Rosa St","1885","Francisca Sánchez"
"Tomás Ramírez","barber","1106 Flores St","1877","Rosa Morales"
"Thomas Smith","merchant","1155 Soledad St","1920",""
"Carlos González","farmer","532 Market St","1925",""
"Michael Doyle","printer","1143 Navarro St","1895",""
"Ludwig Zimmermann","saloon keeper","1006 Santa Rosa St","1925","Bertha Richter"
"Hans Krüger","blacksmith","270 Flores St","1925",""
"Walter Green","physician","897 Flores St","1905",""
"Héctor Chávez","attorney","264 Santa Rosa St","1915","Maureen McCarthy"
"August Richter","printer","406 Soledad St","1901","Concepción Hernández"
"Pedro Chávez","attorney","803 Laredo St","1901","Hilda Koch"
"José Cantu","physician","330 Flores St","1915","Lupe Rivera"
"Isidro Gutiérrez","barber","464 Navarro St","1915","Angela López"
"Richard Taylor","physician","117 Alamo Plaza","1910",""
"William Perez","laborer","612 Navarro St","1885",""
"Dermot Burke","minister","426 Commerce St","1910",""
"Carlos Torres","butcher","993 Houston St","1925",""
"Guadalupe Domínguez","teacher","728 Santa Rosa St","1901","Bertha Braun"
"Fergus O'Brien","teacher","295 Alamo Plaza","1877","Florence Baker"
